source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.48.0/24,,OPS_Course,,CIL1-MNT LARUS-SERVICE-MNT,,AS209242,SC,NL
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.52.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,GB
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.53.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,GB
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.54.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,GB
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.55.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,GB
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.56.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,SG
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.57.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,SG
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.58.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,SG
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.59.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,SG
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.60.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,KR
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.61.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,KR
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.62.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,KR
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.229.63.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS5065,SC,KR
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.0.0/24,,Bunny_Technology_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS7018,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.1.0/24,,GRANDBO_TECHNOLOGY_DEVELOPMENT_CORP,,CIL1-MNT LARUS-SERVICE-MNT,,AS138678,SC,PH
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.2.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.3.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.4.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.5.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.6.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065;AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.243.7.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065;AS40065;AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.245.0.0/24,,Orbith_sa,,CIL1-MNT LARUS-SERVICE-MNT,,AS265844,SC,CL
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.245.1.0/24,,Cloud_Innovation,,CIL1-MNT LARUS-SERVICE-MNT,,AS45102,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.245.2.0/24,,Cloud_Innovation,,CIL1-MNT LARUS-SERVICE-MNT,,AS137263,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.245.3.0/24,,Venom_Cloud,,CIL1-MNT LARUS-SERVICE-MNT,,AS212042,SC,IN
