origin,time,time_utc_str,peer_asn,peer_ip,prefix,type,as_path
132787,1519830000.0,2018-02-28 15:00:00,327960,196.60.8.22,103.31.212.0/24,A,"['327960', '327782', '37100', '6453', '4755', '10029', '132787']"
132787,1519830376.0,2018-02-28 15:06:16,58299,91.206.52.130,103.31.212.0/24,A,"['58299', '174', '1273', '55410', '10029', '10029', '132787']"
32787,1519830391.0,2018-02-28 15:06:31,3252,195.208.208.63,92.122.184.0/24,A,"['3252', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.143.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.142.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.140.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.139.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.138.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.137.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,209.200.136.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,114.141.76.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,114.141.75.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,92.122.185.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,92.122.184.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.56.0/22,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.59.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.58.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.57.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.56.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.35.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.34.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.33.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.32.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.19.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.18.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.17.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.16.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830400.0,2018-02-28 15:06:40,198385,91.206.52.109,72.52.2.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830407.0,2018-02-28 15:06:47,37271,195.66.226.102,114.141.76.0/24,A,"['37271', '2914', '32787']"
32787,1519830407.0,2018-02-28 15:06:47,37271,195.66.238.102,114.141.76.0/24,A,"['37271', '2914', '32787']"
32787,1519830408.0,2018-02-28 15:06:48,12350,192.65.185.157,209.200.136.0/24,A,"['12350', '174', '6453', '32787']"
32787,1519830408.0,2018-02-28 15:06:48,12350,192.65.185.157,209.200.143.0/24,A,"['12350', '174', '6453', '32787']"
32787,1519830409.0,2018-02-28 15:06:49,37271,195.66.226.102,209.200.136.0/24,A,"['37271', '2914', '32787']"
32787,1519830409.0,2018-02-28 15:06:49,37271,195.66.238.102,209.200.136.0/24,A,"['37271', '2914', '32787']"
132787,1519830597.0,2018-02-28 15:09:57,58299,91.206.52.130,103.31.212.0/24,A,"['58299', '174', '6453', '4755', '10029', '132787']"
32787,1519830654.0,2018-02-28 15:10:54,12350,192.65.185.157,114.141.76.0/24,A,"['12350', '174', '6453', '32787']"
32787,1519830676.0,2018-02-28 15:11:16,198385,91.206.52.109,114.141.75.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830676.0,2018-02-28 15:11:16,198385,91.206.52.109,114.141.76.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830676.0,2018-02-28 15:11:16,198385,91.206.52.109,92.122.184.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830676.0,2018-02-28 15:11:16,198385,91.206.52.109,92.122.185.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830676.0,2018-02-28 15:11:16,198385,91.206.52.109,72.52.2.0/24,A,"['198385', '174', '6453', '32787']"
32787,1519830676.0,2018-02-28 15:11:16,198385,91.206.52.109,72.52.16.0/24,A,"['198385', '174', '6453', '32787']"
