prefix,provider,origin,time,as_path,scrubber
104.21.80.0/20,28917,13335,1733207971.0,"['28917', '13335']",13335
104.21.64.0/19,28917,13335,1733207971.0,"['28917', '13335']",13335
104.21.64.0/19,212483,13335,1733210513.0,"['212483', '13335']",13335
104.21.64.0/19,212483,13335,1733210513.0,"['212483', '13335']",13335
104.21.80.0/20,212483,13335,1733210513.0,"['212483', '13335']",13335
104.21.80.0/20,212483,13335,1733210513.0,"['212483', '13335']",13335
104.21.64.0/19,212483,13335,1733210584.0,"['212483', '13335']",13335
104.21.80.0/20,212483,13335,1733210584.0,"['212483', '13335']",13335
104.21.64.0/19,212483,13335,1733210584.0,"['212483', '13335']",13335
104.21.80.0/20,212483,13335,1733210584.0,"['212483', '13335']",13335
104.21.80.0/20,31133,13335,1733210700.0,"['28910', '31133', '13335']",13335
104.21.64.0/19,31133,13335,1733210700.0,"['28910', '31133', '13335']",13335
104.16.0.0/12,31133,13335,1733210703.0,"['28910', '31133', '13335']",13335
104.21.64.0/19,58453,13335,1733210738.0,"['28910', '58453', '13335']",13335
104.21.80.0/20,58453,13335,1733210738.0,"['28910', '58453', '13335']",13335
