prefix,provider,origin,time,as_path,scrubber
52.62.0.0/15,8220,16509,1733224127.0,"['8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224128.0,"['196621', '8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224128.0,"['20612', '8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224131.0,"['196621', '8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224143.0,"['198385', '15576', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224188.0,"['8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224188.0,"['20612', '8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224189.0,"['196621', '8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224191.0,"['196621', '8758', '8220', '16509']",8220
52.62.0.0/15,8220,16509,1733224205.0,"['198385', '15576', '8220', '16509']",8220
