prefix,provider,origin,time,as_path,scrubber
3.24.0.0/14,8220,16509,1733229551.0,"['8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229551.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229551.0,"['20612', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229563.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229581.0,"['8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229581.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229581.0,"['20612', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229593.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229593.0,"['198385', '15576', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229671.0,"['8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229671.0,"['20612', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229671.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229683.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229701.0,"['8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229701.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229701.0,"['20612', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229713.0,"['196621', '8758', '8220', '16509']",8220
3.24.0.0/14,8220,16509,1733229718.0,"['198385', '15576', '8220', '16509']",8220
