prefix,provider,origin,time,as_path,scrubber
45.145.166.0/24,62000,207992,1733227826.0,"['213151', '137409', '62000', '207992']",137409
45.145.166.0/24,62000,207992,1733229060.0,"['270014', '263237', '174', '137409', '62000', '207992']",137409
45.145.166.0/24,62000,207992,1733229063.0,"['270014', '6057', '137409', '62000', '207992']",137409
45.145.166.0/24,62000,207992,1733229070.0,"['6057', '137409', '62000', '207992']",137409
45.145.166.0/24,62000,207992,1733229081.0,"['270014', '6057', '137409', '62000', '207992']",137409
45.145.166.0/24,62000,207992,1733229086.0,"['6057', '137409', '62000', '207992']",137409
45.145.166.0/24,62000,207992,1733229153.0,"['270014', '6057', '137409', '62000', '207992']",137409
