prefix,provider,origin,time,as_path,scrubber
109.230.248.0/23,199524,199610,1733190918.0,"['13030', '4637', '1221', '199524', '199610']",199524
109.230.248.0/23,199524,199610,1733191309.0,"['59919', '137409', '199524', '199610']","137409,199524"
109.230.248.0/23,199524,199610,1733191309.0,"['59919', '137409', '199524', '199610']","137409,199524"
109.230.248.0/23,199524,199610,1733191320.0,"['13030', '6461', '137409', '199524', '199610']","137409,199524"
109.230.248.0/23,199524,199610,1733191340.0,"['35426', '137409', '199524', '199610']","137409,199524"
