prefix,provider,origin,time,as_path,scrubber
45.207.224.0/19,13335,139646,1733210513.0,"['212483', '13335', '139646']",13335
45.207.224.0/19,13335,139646,1733210513.0,"['212483', '13335', '139646']",13335
45.207.224.0/19,13335,139646,1733210584.0,"['212483', '13335', '139646']",13335
45.207.224.0/19,13335,139646,1733210584.0,"['212483', '13335', '139646']",13335
45.207.224.0/19,13335,139646,1733210675.0,"['28910', '31133', '13335', '139646']",13335
45.207.224.0/19,13335,139646,1733211098.0,"['28910', '3356', '13335', '139646']",13335
