prefix,provider,origin,time,as_path,scrubber
69.10.42.0/24,396998,19318,1733218857.0,"['3214', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
69.10.42.0/24,396998,19318,1733218857.0,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
69.10.42.0/24,396998,19318,1733218857.0,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
69.10.42.0/24,396998,19318,1733218857.0,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
69.10.42.0/24,396998,19318,1733218857.0,"['29691', '1299', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['21232', '13030', '1299', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['12307', '29691', '1299', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['20612', '9044', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['20612', '9044', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['62167', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['8298', '8283', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['57777', '8298', '8283', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['57777', '8298', '8283', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['5405', '396998', '19318']","5405,396998"
69.10.42.0/24,396998,19318,1733218857.0,"['263237', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['6762', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['28917', '396998', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['21700', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['24482', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['199524', '396998', '19318']","396998,199524"
69.10.42.0/24,396998,19318,1733218857.0,"['20811', '28716', '1299', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['20912', '3257', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['199524', '6762', '3257', '396998', '19318']","396998,199524"
69.10.42.0/24,396998,19318,1733218857.0,"['42473', '9002', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['3399', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['51519', '39351', '396998', '19318']",396998
69.10.42.0/24,396998,19318,1733218857.0,"['9002', '396998', '19318']",396998
