prefix,provider,origin,time,as_path,scrubber
31.6.47.0/24,396998,30644,1733248880.0,"['24482', '24748', '396998', '30644']",396998
31.6.47.0/24,396998,30644,1733248880.0,"['24482', '24748', '396998', '30644']",396998
31.6.47.0/24,396998,30644,1733248882.0,"['59514', '24115', '24748', '396998', '30644']",396998
31.6.47.0/24,396998,30644,1733249504.0,"['59414', '3303', '3257', '396998', '30644']",396998
31.6.47.0/24,60068,212238,1733250175.0,"['6057', '2914', '60068', '212238']",60068
31.6.47.0/24,60068,212238,1733250175.0,"['6057', '2914', '60068', '212238']",60068
