prefix,provider,origin,time,as_path,scrubber
51.36.174.0/24,59605,43766,1733221359.0,"['57695', '60068', '33891', '59605', '43766']",60068
51.36.174.0/24,59605,43766,1733221359.0,"['57695', '60068', '3356', '59605', '43766']",60068
51.36.174.0/24,59605,43766,1733221359.0,"['57695', '60068', '3356', '59605', '43766']",60068
51.36.128.0/18,43766,43766,1733221362.0,"['36924', '35280', '6453', '59605', '43766', '43766', '43766', '43766']",35280
51.36.128.0/18,43766,43766,1733221378.0,"['35280', '6453', '59605', '43766', '43766', '43766', '43766']",35280
51.36.174.0/24,59605,43766,1733221385.0,"['8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221385.0,"['20612', '8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221385.0,"['196621', '8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221385.0,"['20612', '8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221403.0,"['199524', '3491', '3356', '59605', '43766']",199524
51.36.174.0/24,59605,43766,1733221408.0,"['199524', '174', '3356', '59605', '43766']",199524
51.36.174.0/24,59605,43766,1733221423.0,"['57695', '60068', '33891', '59605', '43766']",60068
51.36.174.0/24,59605,43766,1733221433.0,"['199524', '59605', '43766']",199524
51.36.128.0/18,43766,43766,1733221438.0,"['35280', '6453', '59605', '43766', '43766', '43766', '43766']",35280
51.36.174.0/24,59605,43766,1733221445.0,"['8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221445.0,"['199524', '59605', '43766']",199524
51.36.174.0/24,59605,43766,1733221446.0,"['196621', '8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221446.0,"['20612', '8758', '8220', '59605', '43766']",8220
51.36.174.0/24,59605,43766,1733221446.0,"['20612', '8758', '8220', '59605', '43766']",8220
51.36.128.0/18,43766,43766,1733221451.0,"['36924', '35280', '6453', '59605', '43766', '43766', '43766', '43766']",35280
51.36.174.0/24,59605,43766,1733223235.0,"['29680', '8220', '59605', '43766']",8220
