prefix,provider,origin,time,as_path,scrubber
103.106.229.0/24,396356,136258,1733232456.0,"['198150', '137409', '396356', '396356', '396356', '136258']",137409
103.106.229.0/24,396356,136258,1733232472.0,"['198150', '137409', '396356', '396356', '396356', '136258']",137409
103.106.229.0/24,396356,136258,1733232500.0,"['21282', '9198', '137409', '396356', '396356', '396356', '136258']",137409
103.106.229.0/24,396356,136258,1733233729.0,"['21282', '9198', '174', '137409', '396356', '396356', '396356', '136258']",137409
103.106.229.0/24,396356,136258,1733233791.0,"['21282', '9198', '137409', '396356', '396356', '396356', '136258']",137409
