prefix,provider,origin,time,as_path,scrubber
78.138.107.0/24,19905,20773,1733230865.0,"['917', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['13786', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['23106', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['23106', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['263152', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['269956', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['270014', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['49544', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['20080', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['36924', '35280', '22822', '19905', '20773']","35280,19905"
78.138.107.0/24,19905,20773,1733230865.0,"['39122', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['3170', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['6908', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230865.0,"['396998', '22822', '19905', '20773']","396998,19905"
78.138.107.0/24,19905,20773,1733230865.0,"['42473', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['3399', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['13030', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['207841', '137409', '2914', '19905', '20773']","137409,19905"
78.138.107.0/24,19905,20773,1733230866.0,"['15562', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['14907', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['28634', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['52873', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['28634', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230866.0,"['42473', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230867.0,"['15692', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230867.0,"['6830', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230868.0,"['22548', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230871.0,"['25160', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230872.0,"['14630', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230872.0,"['49434', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230874.0,"['12779', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230876.0,"['25160', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230877.0,"['14840', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230878.0,"['12956', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230883.0,"['53046', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230885.0,"['58308', '59689', '30781', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230885.0,"['35266', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230890.0,"['204092', '30781', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230894.0,"['12779', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230899.0,"['37271', '22822', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230905.0,"['3549', '3356', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230916.0,"['61573', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230937.0,"['14840', '7195', '23059', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733230947.0,"['4608', '38622', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733231046.0,"['51088', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733231046.0,"['8298', '51088', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733231046.0,"['57777', '8298', '51088', '2914', '19905', '20773']",19905
78.138.107.0/24,19905,20773,1733231198.0,"['680', '22822', '19905', '20773']",19905
