Unnamed: 0,prefix,provider,origin,time,as_path,scrubber
105,31.6.47.0/24,396998,30644,1733249504,"['59414', '3303', '3257', '396998', '30644']",396998
108,45.145.166.0/24,62000,207992,1733227826,"['213151', '137409', '62000', '207992']",137409
109,45.145.166.0/24,62000,207992,1733229060,"['270014', '263237', '174', '137409', '62000', '207992']",137409
110,45.145.166.0/24,62000,207992,1733229063,"['270014', '6057', '137409', '62000', '207992']",137409
111,45.145.166.0/24,62000,207992,1733229070,"['6057', '137409', '62000', '207992']",137409
112,45.145.166.0/24,62000,207992,1733229081,"['270014', '6057', '137409', '62000', '207992']",137409
113,45.145.166.0/24,62000,207992,1733229086,"['6057', '137409', '62000', '207992']",137409
114,45.145.166.0/24,62000,207992,1733229153,"['270014', '6057', '137409', '62000', '207992']",137409
115,45.207.224.0/19,13335,139646,1733210513,"['212483', '13335', '139646']",13335
116,45.207.224.0/19,13335,139646,1733210513,"['212483', '13335', '139646']",13335
117,45.207.224.0/19,13335,139646,1733210584,"['212483', '13335', '139646']",13335
118,45.207.224.0/19,13335,139646,1733210584,"['212483', '13335', '139646']",13335
119,45.207.224.0/19,13335,139646,1733210675,"['28910', '31133', '13335', '139646']",13335
120,45.207.224.0/19,13335,139646,1733211098,"['28910', '3356', '13335', '139646']",13335
122,78.24.184.0/21,29278,41075,1733246712,"['12779', '5405', '29278', '41075']",5405
123,78.24.184.0/21,29278,41075,1733246777,"['12779', '5405', '29278', '41075']",5405
124,78.24.184.0/21,29278,41075,1733247018,"['12779', '5405', '29278', '41075']",5405
125,78.24.184.0/21,29278,41075,1733247082,"['12779', '5405', '29278', '41075']",5405
126,93.112.128.0/20,39386,25019,1733208011,"['199524', '2914', '39386', '25019']",199524
127,93.112.128.0/20,39386,25019,1733208816,"['199524', '2914', '39386', '25019']",199524
128,35.202.0.0/15,15169,396982,1733244965,"['35280', '15169', '396982']",35280
129,35.200.0.0/14,15169,396982,1733244965,"['35280', '15169', '396982']",35280
130,35.202.240.0/20,15169,396982,1733244966,"['35280', '15169', '396982']",35280
131,69.10.42.0/24,396998,19318,1733218857,"['3214', '396998', '19318']",396998
132,69.10.42.0/24,396998,19318,1733218857,"['396998', '19318']",396998
133,69.10.42.0/24,396998,19318,1733218857,"['396998', '19318']",396998
134,69.10.42.0/24,396998,19318,1733218857,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
135,69.10.42.0/24,396998,19318,1733218857,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
136,69.10.42.0/24,396998,19318,1733218857,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
137,69.10.42.0/24,396998,19318,1733218857,"['199524', '5511', '3257', '396998', '19318']","396998,199524"
138,69.10.42.0/24,396998,19318,1733218857,"['29691', '1299', '3257', '396998', '19318']",396998
139,69.10.42.0/24,396998,19318,1733218857,"['21232', '13030', '1299', '3257', '396998', '19318']",396998
140,69.10.42.0/24,396998,19318,1733218857,"['12307', '29691', '1299', '3257', '396998', '19318']",396998
141,69.10.42.0/24,396998,19318,1733218857,"['20612', '9044', '396998', '19318']",396998
142,69.10.42.0/24,396998,19318,1733218857,"['20612', '9044', '396998', '19318']",396998
143,69.10.42.0/24,396998,19318,1733218857,"['62167', '396998', '19318']",396998
144,69.10.42.0/24,396998,19318,1733218857,"['8298', '8283', '396998', '19318']",396998
145,69.10.42.0/24,396998,19318,1733218857,"['57777', '8298', '8283', '396998', '19318']",396998
146,69.10.42.0/24,396998,19318,1733218857,"['57777', '8298', '8283', '396998', '19318']",396998
147,69.10.42.0/24,396998,19318,1733218857,"['5405', '396998', '19318']","5405,396998"
148,69.10.42.0/24,396998,19318,1733218857,"['263237', '396998', '19318']",396998
149,69.10.42.0/24,396998,19318,1733218857,"['6762', '3257', '396998', '19318']",396998
150,69.10.42.0/24,396998,19318,1733218857,"['28917', '396998', '396998', '19318']",396998
151,69.10.42.0/24,396998,19318,1733218857,"['21700', '3257', '396998', '19318']",396998
152,69.10.42.0/24,396998,19318,1733218857,"['24482', '396998', '19318']",396998
153,69.10.42.0/24,396998,19318,1733218857,"['199524', '396998', '19318']","396998,199524"
154,69.10.42.0/24,396998,19318,1733218857,"['20811', '28716', '1299', '3257', '396998', '19318']",396998
155,69.10.42.0/24,396998,19318,1733218857,"['20912', '3257', '396998', '19318']",396998
156,69.10.42.0/24,396998,19318,1733218857,"['199524', '6762', '3257', '396998', '19318']","396998,199524"
157,69.10.42.0/24,396998,19318,1733218857,"['42473', '9002', '396998', '19318']",396998
158,69.10.42.0/24,396998,19318,1733218857,"['3399', '396998', '19318']",396998
159,69.10.42.0/24,396998,19318,1733218857,"['51519', '39351', '396998', '19318']",396998
160,69.10.42.0/24,396998,19318,1733218857,"['9002', '396998', '19318']",396998
161,69.10.42.0/24,396998,19318,1733218857,"['35280', '396998', '19318']","396998,35280"
162,69.10.42.0/24,396998,19318,1733218857,"['199524', '1299', '3257', '396998', '19318']","396998,199524"
163,69.10.42.0/24,396998,19318,1733218857,"['48362', '396998', '19318']",396998
164,69.10.42.0/24,396998,19318,1733218857,"['24482', '396998', '19318']",396998
165,69.10.42.0/24,396998,19318,1733218857,"['1828', '396998', '19318']",396998
166,69.10.42.0/24,396998,19318,1733218857,"['39122', '396998', '19318']",396998
167,69.10.42.0/24,396998,19318,1733218857,"['396998', '19318']",396998
168,69.10.42.0/24,396998,19318,1733218857,"['42473', '396998', '19318']",396998
169,69.10.42.0/24,396998,19318,1733218857,"['207841', '396998', '19318']",396998
170,69.10.42.0/24,396998,19318,1733218857,"['62167', '396998', '19318']",396998
171,69.10.42.0/24,396998,19318,1733218857,"['34927', '396998', '19318']",396998
172,69.10.42.0/24,396998,19318,1733218857,"['34927', '396998', '19318']",396998
173,69.10.42.0/24,396998,19318,1733218857,"['6424', '396998', '19318']",396998
174,69.10.42.0/24,396998,19318,1733218857,"['6233', '396998', '19318']",396998
175,69.10.42.0/24,396998,19318,1733218857,"['3214', '396998', '19318']",396998
176,69.10.42.0/24,396998,19318,1733218857,"['917', '396998', '19318']",396998
177,69.10.42.0/24,396998,19318,1733218857,"['917', '25369', '396998', '19318']",396998
178,69.10.42.0/24,396998,19318,1733218857,"['917', '3214', '396998', '19318']",396998
179,69.10.42.0/24,396998,19318,1733218857,"['3170', '396998', '19318']",396998
180,69.10.42.0/24,396998,19318,1733218857,"['271253', '396998', '19318']",396998
181,69.10.42.0/24,396998,19318,1733218857,"['37721', '396998', '19318']",396998
182,69.10.42.0/24,396998,19318,1733218857,"['49432', '48362', '396998', '19318']",396998
183,69.10.42.0/24,396998,19318,1733218857,"['58057', '34549', '396998', '19318']",396998
184,69.10.42.0/24,396998,19318,1733218857,"['17639', '396998', '19318']",396998
185,69.10.42.0/24,396998,19318,1733218857,"['29504', '15935', '1299', '3257', '396998', '19318']",396998
186,69.10.42.0/24,396998,19318,1733218857,"['852', '396998', '19318']",396998
188,69.10.42.0/24,396998,19318,1733218857,"['34288', '396998', '19318']",396998
189,69.10.42.0/24,396998,19318,1733218857,"['210937', '1299', '3257', '396998', '19318']",396998
190,69.10.42.0/24,396998,19318,1733218857,"['34927', '396998', '19318']",396998
191,69.10.42.0/24,396998,19318,1733218857,"['34927', '396998', '19318']",396998
192,69.10.42.0/24,396998,19318,1733218857,"['58057', '34549', '396998', '19318']",396998
193,69.10.42.0/24,396998,19318,1733218857,"['213151', '34549', '396998', '19318']",396998
194,69.10.42.0/24,396998,19318,1733218857,"['6233', '1299', '3257', '396998', '19318']",396998
195,69.10.42.0/24,396998,19318,1733218857,"['48362', '396998', '19318']",396998
198,69.10.42.0/24,396998,19318,1733218858,"['24482', '396998', '19318']",396998
199,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '1299', '3257', '396998', '19318']",396998
200,69.10.42.0/24,396998,19318,1733218858,"['210937', '34549', '396998', '19318']",396998
201,69.10.42.0/24,396998,19318,1733218858,"['24961', '396998', '19318']",396998
202,69.10.42.0/24,396998,19318,1733218858,"['24482', '24748', '396998', '19318']",396998
203,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '1299', '3257', '396998', '19318']",396998
204,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '3257', '396998', '19318']",396998
205,69.10.42.0/24,396998,19318,1733218858,"['34019', '47160', '6461', '3257', '396998', '19318']",396998
206,69.10.42.0/24,396998,19318,1733218858,"['34019', '3303', '3257', '396998', '19318']",396998
207,69.10.42.0/24,396998,19318,1733218858,"['34019', '29169', '396998', '19318']",396998
208,69.10.42.0/24,396998,19318,1733218858,"['29140', '286', '396998', '19318']",396998
