prefix,provider,origin,time,as_path,scrubber
23.227.38.0/23,267056,13335,1733241393.0,"['263237', '268860', '267056', '13335']",13335
23.227.38.0/23,267056,13335,1733241393.0,"['270014', '263237', '268860', '267056', '13335']",13335
23.227.38.0/23,28329,13335,1733241420.0,"['263237', '28329', '13335']",13335
23.227.38.0/23,6057,13335,1733241421.0,"['270014', '6057', '13335']",13335
23.227.38.0/23,212483,13335,1733241656.0,"['212483', '13335']",13335
23.227.38.0/23,212483,13335,1733241656.0,"['212483', '13335']",13335
23.227.38.0/23,212483,13335,1733241730.0,"['212483', '13335']",13335
23.227.38.0/23,212483,13335,1733241730.0,"['212483', '13335']",13335
23.227.38.0/23,3257,13335,1733241860.0,"['57821', '12586', '3257', '13335']",13335
23.227.38.0/23,267056,13335,1733241994.0,"['263237', '268860', '267056', '13335']",13335
23.227.38.0/23,267056,13335,1733241994.0,"['270014', '263237', '268860', '267056', '13335']",13335
23.227.38.0/23,6057,13335,1733242021.0,"['270014', '6057', '13335']",13335
23.227.38.0/23,28329,13335,1733242021.0,"['263237', '28329', '13335']",13335
23.227.38.0/23,267056,13335,1733243208.0,"['270014', '263237', '268860', '267056', '13335']",13335
23.227.38.0/23,267056,13335,1733243208.0,"['263237', '268860', '267056', '13335']",13335
23.227.38.0/23,6057,13335,1733243235.0,"['270014', '6057', '13335']",13335
23.227.38.0/23,28329,13335,1733243236.0,"['263237', '28329', '13335']",13335
