prefix,provider,origin,time,as_path,scrubber
83.123.0.0/16,49666,197207,1733210284.0,"['35280', '3356', '174', '198150', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210286.0,"['35280', '3356', '174', '198150', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210289.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210290.0,"['35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210290.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210291.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210291.0,"['35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210292.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210293.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210319.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210319.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210678.0,"['35280', '3356', '174', '198150', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210679.0,"['35280', '3356', '174', '198150', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210689.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210689.0,"['35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210690.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210691.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210691.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210691.0,"['35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210692.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210694.0,"['36924', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210696.0,"['2027', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210703.0,"['2027', '35280', '200612', '49666', '197207']",35280
83.123.96.0/20,49666,197207,1733210710.0,"['50628', '35280', '200612', '49666', '197207']",35280
83.123.0.0/16,49666,197207,1733210710.0,"['50628', '35280', '200612', '49666', '197207']",35280
