IP Prefix,ASNs
45.82.106.0/24,"AS32787, AS61149"
45.82.107.0/24,"AS32787, AS61149"
46.240.122.0/24,"AS32787, AS35819"
46.240.124.0/24,"AS32787, AS35819"
77.232.97.0/24,"AS19905, AS32787"
81.4.186.0/23,"AS32787, AS49338"
86.104.226.0/24,"AS32787, AS61149"
89.147.32.0/23,"AS1136, AS32787, AS39370"
91.235.107.0/24,"AS32787, AS61149"
185.16.88.0/24,"AS32787, AS61149"
185.16.89.0/24,"AS32787, AS61149"
185.16.90.0/24,"AS32787, AS61149"
185.16.91.0/24,"AS32787, AS61149"
185.69.116.0/24,"AS32787, AS59836"
185.69.118.0/24,"AS32787, AS59836"
185.78.246.0/24,"AS204206, AS32787, AS5384"
185.78.247.0/24,"AS204206, AS32787, AS5384"
193.35.248.0/24,"AS25421, AS32787"
193.35.249.0/24,"AS25421, AS32787"
193.35.250.0/24,"AS25421, AS32787"
193.35.252.0/24,"AS25421, AS32787"
193.35.253.0/24,"AS25421, AS32787"
193.35.254.0/24,"AS25421, AS32787"
193.35.255.0/24,"AS25421, AS32787"
193.103.193.0/24,"AS26937, AS32787, AS6453"
193.103.194.0/24,"AS26937, AS32787"
193.103.199.0/24,"AS26937, AS32787, AS6421"
193.194.122.0/24,"AS32787, AS34397"
194.35.1.0/24,"AS32787, AS59836"
194.35.5.0/24,"AS32787, AS59836"
194.35.8.0/24,"AS32787, AS59836"
194.35.9.0/24,"AS32787, AS59836"
212.119.74.0/24,"AS32787, AS34397"
213.210.216.0/24,"AS32787, AS34397"
