IP Prefix,ASNs
92.40.184.0/23,"AS198949, AS206067"
92.40.186.0/23,"AS198949, AS206067"
92.40.188.0/23,"AS198949, AS206067"
92.40.190.0/23,"AS198949, AS206067"
92.40.192.0/23,"AS198949, AS206067"
92.40.194.0/23,"AS198949, AS206067"
92.40.196.0/23,"AS198949, AS206067"
92.40.198.0/23,"AS198949, AS206067"
92.40.200.0/23,"AS198949, AS206067"
92.40.202.0/23,"AS198949, AS206067"
92.40.204.0/23,"AS198949, AS206067"
92.40.208.0/23,"AS198949, AS206067"
92.40.210.0/23,"AS198949, AS206067"
92.40.212.0/23,"AS198949, AS206067"
92.40.214.0/23,"AS198949, AS206067"
92.40.216.0/23,"AS198949, AS206067"
92.40.218.0/23,"AS198949, AS206067"
92.41.0.0/20,"AS198949, AS206067"
92.41.16.0/20,"AS198949, AS206067"
92.41.32.0/20,"AS198949, AS206067"
92.41.48.0/20,"AS198949, AS206067"
92.41.64.0/20,"AS198949, AS206067"
92.41.80.0/22,"AS198949, AS206067"
92.41.84.0/22,"AS198949, AS206067"
92.41.88.0/22,"AS198949, AS206067"
92.41.92.0/22,"AS198949, AS206067"
92.41.96.0/19,"AS198949, AS206067"
92.41.128.0/20,"AS198949, AS206067"
92.41.144.0/21,"AS198949, AS206067"
92.41.156.0/22,"AS198949, AS206067"
92.41.160.0/21,"AS198949, AS206067"
92.41.176.0/20,"AS198949, AS206067"
92.41.208.0/20,"AS198949, AS206067"
92.41.224.0/20,"AS198949, AS206067"
92.41.251.0/24,"AS198949, AS206067"
92.61.228.0/24,"AS198949, AS25773"
92.61.230.0/24,"AS198949, AS205209, AS25003, AS25773"
92.61.231.0/24,"AS198949, AS205209, AS25003, AS25773"
92.61.232.0/24,"AS198949, AS25003, AS25773"
92.61.236.0/24,"AS198949, AS25003, AS25773"
92.61.237.0/24,"AS198949, AS25003, AS25773"
92.61.238.0/24,"AS198949, AS25773"
92.88.0.0/13,"AS15557, AS198949, AS21502"
92.102.0.0/15,"AS12670, AS15557, AS198949"
93.0.0.0/11,"AS15557, AS198949, AS21502"
93.182.192.0/18,"AS198949, AS47206"
93.191.80.0/21,"AS15557, AS198949"
94.125.28.0/24,"AS198949, AS47777"
94.188.137.0/24,"AS198949, AS25773"
94.188.194.0/24,"AS198949, AS207444, AS25003, AS25773"
94.188.201.0/24,"AS198949, AS25773"
94.188.202.0/24,"AS198949, AS25773"
94.188.203.0/24,"AS198949, AS25003, AS25773"
94.188.205.0/24,"AS198949, AS25773"
94.188.206.0/24,"AS198949, AS25773"
94.188.207.0/24,"AS198949, AS25773"
94.188.208.0/24,"AS198949, AS25773"
94.188.209.0/24,"AS198949, AS25773"
94.188.210.0/24,"AS198949, AS25773"
94.188.211.0/24,"AS198949, AS25773"
94.188.212.0/24,"AS198949, AS25773"
94.188.214.0/24,"AS198949, AS25773"
94.188.215.0/24,"AS198949, AS25773"
94.188.216.0/24,"AS198949, AS25003, AS25773"
94.188.222.0/24,"AS198949, AS25773"
94.188.223.0/24,"AS198949, AS25003, AS25773"
94.188.224.0/24,"AS198949, AS25773"
94.188.225.0/24,"AS198949, AS25773"
94.188.226.0/24,"AS198949, AS25773"
94.188.227.0/24,"AS198949, AS25773"
94.188.228.0/24,"AS198949, AS25003, AS25773"
94.188.229.0/24,"AS198949, AS25773"
94.188.230.0/24,"AS198949, AS25003, AS25773"
94.188.231.0/24,"AS198949, AS25773"
94.188.232.0/24,"AS198949, AS25773"
94.188.233.0/24,"AS198949, AS25773"
94.188.234.0/24,"AS198949, AS25773"
