IP Prefix,ASNs
1.178.112.0/20,"AS12975, AS19905"
1.178.128.0/20,"AS12975, AS19905"
1.178.208.0/20,"AS12975, AS19905"
1.179.40.0/21,"AS12975, AS19905"
1.179.72.0/21,"AS12975, AS19905"
1.179.88.0/21,"AS12975, AS19905"
2.58.180.0/22,"AS19905, AS43949"
2.96.0.0/13,"AS13285, AS19905"
5.11.16.0/24,"AS19905, AS42705"
5.11.17.0/24,"AS19905, AS42705"
5.11.16.0/23,"AS19905, AS42705"
5.11.18.0/24,"AS19905, AS42705"
5.11.19.0/24,"AS19905, AS21277"
5.11.18.0/23,"AS19905, AS42705"
5.11.16.0/22,"AS19905, AS42705"
5.11.20.0/24,"AS19905, AS42705"
5.11.21.0/24,"AS19905, AS42705"
5.11.22.0/24,"AS19905, AS42705"
5.11.23.0/24,"AS19905, AS42705"
5.11.24.0/24,"AS19905, AS42705"
5.11.25.0/24,"AS19905, AS42705"
5.11.24.0/23,"AS19905, AS42705"
5.11.26.0/24,"AS19905, AS42705"
5.11.27.0/24,"AS19905, AS42705"
5.11.26.0/23,"AS19905, AS207734, AS42705"
5.11.24.0/22,"AS19905, AS42705"
5.11.46.0/24,"AS12975, AS19905"
5.11.47.0/24,"AS12975, AS19905"
5.11.40.0/21,"AS12975, AS19905"
5.32.192.0/18,"AS19905, AS28885"
5.36.0.0/16,"AS19905, AS28885"
5.37.0.0/16,"AS19905, AS28885"
5.57.16.0/24,"AS19905, AS43996"
5.57.17.0/24,"AS19905, AS43996"
5.57.18.0/24,"AS19905, AS43996"
5.57.19.0/24,"AS19905, AS43996"
5.57.20.0/24,"AS19905, AS202196"
5.57.21.0/24,"AS19905, AS202196"
5.57.23.0/24,"AS19905, AS43996"
5.62.128.0/24,"AS198589, AS19905, AS51020"
5.62.129.0/24,"AS198589, AS19905, AS51020"
5.62.130.0/24,"AS198589, AS19905"
5.62.131.0/24,"AS198589, AS19905"
5.62.132.0/24,"AS198589, AS19905"
5.62.133.0/24,"AS198589, AS19905"
5.62.134.0/24,"AS198589, AS19905"
5.62.135.0/24,"AS198589, AS19905"
5.62.136.0/24,"AS198589, AS19905, AS51020"
5.62.137.0/24,"AS198589, AS19905, AS51020"
5.62.138.0/24,"AS198589, AS19905"
5.62.139.0/24,"AS198589, AS19905"
5.62.140.0/24,"AS198589, AS19905"
5.62.141.0/24,"AS198589, AS19905"
5.62.142.0/24,"AS198589, AS19905"
5.62.143.0/24,"AS198589, AS19905"
5.62.144.0/24,"AS198589, AS19905"
5.62.145.0/24,"AS198589, AS19905"
5.62.146.0/24,"AS198589, AS19905"
5.62.147.0/24,"AS198589, AS19905"
5.62.148.0/24,"AS198589, AS19905"
5.62.149.0/24,"AS198589, AS19905"
5.62.150.0/24,"AS198589, AS19905"
5.62.151.0/24,"AS198589, AS19905"
5.102.80.0/20,"AS19905, AS8586"
5.179.72.0/21,"AS19905, AS59597"
5.180.38.0/24,"AS19905, AS48728"
5.180.39.0/24,"AS19905, AS48728"
5.198.0.0/17,"AS12390, AS19905"
24.42.64.0/18,"AS12975, AS19905"
31.7.80.0/24,"AS198589, AS19905, AS51020"
31.7.81.0/24,"AS198589, AS19905, AS51020"
31.7.82.0/24,"AS198589, AS19905, AS51020"
31.7.83.0/24,"AS198589, AS19905, AS34929"
31.7.84.0/24,"AS198589, AS198689, AS19905, AS51020"
31.7.85.0/24,"AS198589, AS19905, AS51020"
31.7.86.0/24,"AS198589, AS19905, AS51020"
31.7.87.0/24,"AS198589, AS19905, AS51020"
31.11.55.0/24,"AS19905, AS211559"
31.14.228.0/24,"AS19905, AS210021, AS211090"
31.200.128.0/18,"AS13280, AS19905"
31.223.185.0/24,"AS19905, AS212330"
37.8.0.0/17,"AS12975, AS15975, AS19905"
37.10.0.0/24,"AS19905, AS43996"
37.10.1.0/24,"AS19905, AS202196"
37.10.4.0/24,"AS19905, AS43996"
37.10.5.0/24,"AS19905, AS43996"
37.10.6.0/24,"AS19905, AS43996"
37.10.7.0/24,"AS19905, AS43996"
37.10.4.0/22,"AS19905, AS43996"
37.10.30.0/24,"AS19905, AS202196"
