IP Prefix,ASNs
23.128.120.0/23,"AS16552, AS19905"
23.128.122.0/24,"AS16552, AS19905"
23.134.176.0/24,"AS19905, AS398496"
23.252.240.0/20,"AS16823, AS19905"
24.225.112.0/20,"AS1299, AS19905, AS33234, AS33362"
45.4.172.0/22,"AS19905, AS55293"
45.41.208.0/23,"AS19905, AS398496"
45.59.0.0/20,"AS19905, AS30036"
50.80.6.0/24,"AS19905, AS30036"
50.80.34.0/23,"AS19905, AS30036"
50.80.72.0/21,"AS19905, AS30036"
50.80.88.0/24,"AS19905, AS30036"
50.80.90.0/23,"AS19905, AS30036"
50.80.94.0/24,"AS19905, AS30036"
50.80.104.0/21,"AS19905, AS30036"
50.80.114.0/23,"AS19905, AS30036"
50.80.135.0/24,"AS19905, AS30036"
50.80.138.0/24,"AS19905, AS30036"
50.80.176.0/20,"AS19905, AS30036"
50.80.208.0/21,"AS19905, AS30036"
50.80.216.0/21,"AS19905, AS30036"
50.80.227.0/24,"AS19905, AS30036"
50.80.252.0/24,"AS19905, AS30036"
50.81.4.0/22,"AS19905, AS30036"
50.81.9.0/24,"AS19905, AS30036"
50.81.10.0/24,"AS19905, AS30036"
50.81.20.0/24,"AS19905, AS30036"
50.81.24.0/22,"AS19905, AS30036"
50.81.44.0/22,"AS19905, AS30036"
50.81.61.0/24,"AS19905, AS30036"
50.81.108.0/24,"AS19905, AS30036"
50.81.112.0/24,"AS19905, AS30036"
50.81.140.0/22,"AS19905, AS30036"
50.81.148.0/24,"AS19905, AS30036"
50.81.151.0/24,"AS19905, AS30036"
50.81.163.0/24,"AS19905, AS30036"
50.81.170.0/24,"AS19905, AS30036"
50.81.174.0/23,"AS19905, AS30036"
50.81.176.0/23,"AS19905, AS30036"
50.81.192.0/22,"AS19905, AS30036"
50.81.200.0/23,"AS19905, AS30036"
50.81.204.0/22,"AS19905, AS30036"
50.81.208.0/22,"AS19905, AS30036"
50.81.212.0/24,"AS19905, AS30036"
50.81.224.0/23,"AS19905, AS30036"
50.81.228.0/22,"AS19905, AS30036"
50.81.239.0/24,"AS19905, AS30036"
50.81.242.0/24,"AS19905, AS30036"
50.81.255.0/24,"AS19905, AS30036"
50.82.2.0/23,"AS19905, AS30036"
