IP Prefix,ASNs
45.42.32.0/22,"AS10747, AS198949, AS33208, AS393878"
50.6.34.0/23,"AS198949, AS38719"
50.6.46.0/23,"AS198949, AS38719"
64.18.144.0/20,"AS10747, AS198949, AS33208, AS393878"
64.45.64.0/18,"AS198949, AS557"
64.251.48.0/20,"AS198949, AS22742"
65.18.0.0/18,"AS198949, AS557"
65.18.64.0/19,"AS198949, AS557"
65.18.96.0/20,"AS198949, AS557"
66.22.108.0/23,"AS14618, AS16509, AS198949"
66.22.0.0/17,"AS198949, AS25773"
66.163.32.0/19,"AS13445, AS198949"
66.178.159.0/24,"AS14618, AS16509, AS198949"
66.187.208.0/20,"AS109, AS198949"
67.218.80.0/20,"AS198949, AS22742"
68.65.248.0/21,"AS10747, AS198949, AS33208, AS393878"
71.67.213.0/24,"AS198949, AS46801"
72.10.96.0/19,"AS198949, AS22742"
72.163.0.0/16,"AS109, AS198949"
74.123.180.0/22,"AS198949, AS22742"
128.36.0.0/16,"AS198949, AS29"
128.61.0.0/16,"AS10490, AS198949, AS2637"
128.103.204.0/24,"AS1742, AS198949"
128.135.0.0/16,"AS160, AS198949"
128.177.111.0/24,"AS198949, AS26664"
128.220.0.0/16,"AS198949, AS5723"
130.111.0.0/16,"AS198949, AS557"
130.132.0.0/16,"AS198949, AS29"
130.207.0.0/16,"AS10490, AS198949, AS2637"
132.198.0.0/16,"AS1351, AS198949"
137.216.0.0/16,"AS11607, AS198949"
138.247.0.0/16,"AS198949, AS23122"
141.114.0.0/16,"AS198949, AS557"
143.215.0.0/16,"AS10490, AS198949, AS2637"
157.96.0.0/21,"AS198949, AS393559"
162.129.0.0/16,"AS198949, AS5723"
162.221.8.0/22,"AS198949, AS22742"
162.246.4.0/22,"AS198949, AS22742"
163.253.32.0/24,"AS11164, AS11537, AS198949, AS396450, AS396955"
163.253.34.0/24,"AS11537, AS198949, AS396450, AS396955"
167.32.0.0/16,"AS198949, AS398290"
169.196.48.0/24,"AS13335, AS198949, AS20249"
169.196.49.0/24,"AS13335, AS198949, AS20249"
169.196.52.0/24,"AS13335, AS198949"
169.196.53.0/24,"AS13335, AS198949"
169.196.56.0/24,"AS13335, AS198949"
169.196.57.0/24,"AS13335, AS198949"
169.196.65.0/24,"AS13335, AS198949, AS20249"
169.196.66.0/24,"AS13335, AS198949, AS20249"
169.196.67.0/24,"AS13335, AS198949, AS20249"
169.196.68.0/24,"AS13335, AS198949, AS20249"
169.196.69.0/24,"AS13335, AS198949, AS20249"
169.196.72.0/24,"AS13335, AS198949, AS20249"
169.196.73.0/24,"AS13335, AS198949, AS20249"
169.196.76.0/24,"AS13335, AS198949, AS20249"
169.196.77.0/24,"AS13335, AS198949, AS20249"
169.196.78.0/24,"AS13335, AS198949, AS20249"
169.196.79.0/24,"AS13335, AS198949, AS20249"
169.196.128.0/19,"AS198949, AS20249"
169.196.160.0/20,"AS13335, AS198949, AS20249"
169.196.176.0/20,"AS13335, AS198949, AS20249"
169.196.198.0/24,"AS13335, AS198949, AS20249"
