IP Prefix,ASNs
132.157.0.0/16,"AS19905, AS21575"
132.184.0.0/16,"AS19905, AS21575"
132.191.0.0/16,"AS19905, AS21575"
132.251.0.0/17,"AS19905, AS21575"
132.251.128.0/18,"AS19905, AS21575"
132.251.192.0/19,"AS19905, AS21575"
148.102.0.0/17,"AS19180, AS19905"
161.190.0.0/16,"AS13474, AS19905"
186.0.152.0/22,"AS11392, AS19905, AS202, AS203, AS3356, AS3549"
186.160.0.0/14,"AS19905, AS21575"
190.8.128.0/19,"AS19180, AS19905"
190.143.127.0/24,"AS19905, AS52269"
190.152.52.0/24,"AS198949, AS19905, AS28011"
190.187.0.0/16,"AS19180, AS19905, AS21575"
190.242.184.0/23,"AS19905, AS27910"
200.0.252.0/24,"AS19905, AS20305"
200.10.156.0/24,"AS19905, AS264690"
200.23.1.0/24,"AS19905, AS28498"
200.23.179.0/24,"AS19905, AS22894"
200.31.96.0/19,"AS19180, AS19905"
200.34.22.0/24,"AS19905, AS22894"
200.61.38.0/24,"AS19905, AS20305"
200.73.128.0/18,"AS19905, AS7303"
200.94.180.0/24,"AS19905, AS22894"
200.94.181.0/24,"AS19905, AS22894"
200.94.182.0/24,"AS19905, AS22894, AS8151"
200.94.183.0/24,"AS19905, AS22894"
200.110.0.0/19,"AS19905, AS21575"
200.110.32.0/20,"AS19905, AS21575"
200.125.208.0/24,"AS198949, AS19905, AS28011"
200.192.105.0/24,"AS19905, AS21575"
201.131.121.0/24,"AS19905, AS21575"
201.131.248.0/24,"AS19905, AS22894, AS28511, AS8151"
201.131.249.0/24,"AS19905, AS22894, AS28511"
201.131.250.0/24,"AS19905, AS22894, AS28511, AS8151"
201.131.251.0/24,"AS19905, AS22894, AS28511"
204.87.205.0/24,"AS19905, AS21575"
207.248.64.0/24,"AS19905, AS22894, AS28511"
207.248.65.0/24,"AS19905, AS22894, AS28511, AS8151"
207.248.121.0/24,"AS19905, AS21575"
207.248.123.0/24,"AS19905, AS21575"
2001:1250::/44,"AS19905, AS22894, AS8151"
2001:1250:10::/44,"AS19905, AS22894"
2001:1250:1000::/44,"AS19905, AS22894, AS28511, AS8151"
2001:1250:2000::/44,"AS19905, AS22894, AS28511, AS8151"
2001:1250:3000::/44,"AS19905, AS22894, AS28511, AS8151"
2001:1250:a000::/44,"AS19905, AS22894, AS28511, AS8151"
2001:1250:b000::/44,"AS19905, AS22894, AS28511, AS8151"
2001:1250:c000::/44,"AS19905, AS22894, AS28511, AS8151"
2001:1380::/32,"AS19180, AS19905"
2803:7180::/32,"AS19905, AS21575"
