IP Prefix,ASNs
80.244.170.0/24,"AS19551, AS21350"
91.109.248.0/24,"AS19551, AS198849"
91.109.249.0/24,"AS19551, AS198849"
91.109.250.0/24,"AS19551, AS198849"
91.109.251.0/24,"AS19551, AS198849"
91.109.252.0/24,"AS19551, AS198849"
91.109.253.0/24,"AS19551, AS198849"
91.109.254.0/24,"AS19551, AS198849"
91.231.192.0/22,"AS19551, AS198114, AS198949"
213.253.215.0/24,"AS19551, AS19905, AS203583, AS21209"
217.147.124.0/24,"AS14537, AS19551, AS201071, AS8220"
217.147.125.0/24,"AS14537, AS19551, AS201071, AS8220"
217.147.126.0/24,"AS14537, AS19551, AS201071, AS8220"
217.147.127.0/24,"AS14537, AS19551, AS201071, AS8220"
217.147.124.0/22,"AS14537, AS19551, AS201071, AS8220"
