IP Prefix,ASNs
14.1.194.0/24,"AS19905, AS45960"
14.1.195.0/24,"AS19905, AS45960"
14.1.196.0/23,"AS19905, AS45960"
14.1.200.0/24,"AS19905, AS45960"
14.1.201.0/24,"AS19905, AS45960"
14.1.202.0/24,"AS19905, AS45960"
14.1.203.0/24,"AS19905, AS45960"
14.1.204.0/24,"AS19905, AS45960"
14.1.205.0/24,"AS19905, AS45960"
14.1.206.0/24,"AS19905, AS45960"
14.1.207.0/24,"AS19905, AS45960"
14.1.208.0/24,"AS19905, AS45960"
14.1.209.0/24,"AS19905, AS45960"
14.1.210.0/24,"AS19905, AS45960"
14.1.211.0/24,"AS19905, AS45960"
14.1.212.0/24,"AS19905, AS45960"
14.1.213.0/24,"AS19905, AS45960"
14.1.214.0/24,"AS19905, AS45960"
14.1.215.0/24,"AS19905, AS45960"
14.1.216.0/24,"AS19905, AS45960"
14.1.217.0/24,"AS19905, AS45960"
14.1.218.0/24,"AS19905, AS45960"
14.1.219.0/24,"AS19905, AS45960"
14.1.220.0/24,"AS19905, AS45960"
14.1.221.0/24,"AS19905, AS45960"
14.1.222.0/24,"AS19905, AS45960"
14.1.223.0/24,"AS19905, AS45960"
14.1.224.0/24,"AS19905, AS45960"
14.1.225.0/24,"AS19905, AS45960"
14.1.226.0/24,"AS19905, AS45960"
14.1.227.0/24,"AS19905, AS45960"
14.100.0.0/17,"AS19905, AS3758, AS9506"
14.136.149.0/24,"AS19905, AS32787"
14.192.32.0/20,"AS18126, AS19905"
42.61.0.0/16,"AS19905, AS3758"
43.224.36.0/22,"AS19905, AS9873"
43.247.168.0/22,"AS16552, AS19905"
45.120.148.0/22,"AS19905, AS55293"
58.28.0.0/16,"AS17435, AS19905"
58.146.128.0/20,"AS140928, AS19905"
58.146.144.0/21,"AS140929, AS19905"
58.185.0.0/16,"AS19905, AS3758"
59.189.0.0/16,"AS140928, AS19905, AS55430"
103.14.220.0/22,"AS16552, AS19905"
103.43.76.0/22,"AS19905, AS9873"
103.99.4.0/24,"AS19905, AS21734"
103.99.6.0/24,"AS19905, AS21734"
103.106.117.0/24,"AS137269, AS19905"
103.120.41.0/24,"AS138035, AS19905"
103.131.106.0/24,"AS138360, AS19905"
103.148.236.0/23,"AS132481, AS19905"
103.155.242.0/23,"AS141186, AS19905, AS4768"
103.180.48.0/24,"AS135403, AS19905"
103.183.127.0/24,"AS133741, AS19905"
103.187.183.0/24,"AS138035, AS19905"
103.196.140.0/24,"AS19905, AS21734"
103.196.141.0/24,"AS19905, AS21734"
103.196.142.0/24,"AS19905, AS21734"
103.196.143.0/24,"AS19905, AS21734"
103.225.112.0/24,"AS133860, AS17439, AS19905"
103.225.113.0/24,"AS133860, AS17439, AS19905"
103.225.114.0/24,"AS133860, AS17439, AS19905"
103.225.115.0/24,"AS133860, AS17439, AS19905"
103.227.176.0/22,"AS19905, AS55293"
103.240.240.0/22,"AS19905, AS9873"
103.241.84.0/24,"AS134433, AS19905, AS36351"
103.241.85.0/24,"AS134433, AS19905"
103.241.86.0/24,"AS134433, AS19905"
103.241.87.0/24,"AS134433, AS19905, AS36351"
115.84.64.0/18,"AS19905, AS9873"
116.12.128.0/17,"AS19905, AS3758"
116.89.224.0/20,"AS17649, AS19905"
118.90.0.0/16,"AS17435, AS19905"
118.201.0.0/17,"AS19905, AS3758, AS9506"
118.201.157.0/24,"AS19905, AS9255"
119.15.0.0/22,"AS137471, AS19905"
119.15.4.0/22,"AS137471, AS19905"
119.15.8.0/24,"AS137471, AS19905"
119.15.9.0/24,"AS137471, AS19905"
119.15.13.0/24,"AS137471, AS19905"
119.73.128.0/17,"AS19905, AS3758"
119.75.57.0/24,"AS19905, AS3758"
120.29.232.0/23,"AS19905, AS38015"
120.29.252.0/24,"AS19905, AS58620"
120.29.253.0/24,"AS19905, AS58620"
120.29.254.0/24,"AS19905, AS58620"
121.74.0.0/16,"AS19905, AS9500"
121.75.0.0/16,"AS19905, AS9500"
121.90.0.0/16,"AS19905, AS9500"
123.242.248.0/22,"AS19905, AS38015, AS38461"
124.6.198.0/24,"AS19905, AS9500"
124.6.192.0/19,"AS19905, AS9500"
124.66.128.0/19,"AS19905, AS3758"
128.106.0.0/18,"AS19905, AS3758"
133.250.128.0/17,"AS19905, AS9357"
157.120.162.0/24,"AS19905, AS59349"
165.21.0.0/16,"AS19905, AS3758"
168.168.128.0/20,"AS132481, AS19905"
168.168.254.0/23,"AS17161, AS19905"
180.255.0.0/18,"AS19905, AS3758"
182.154.0.0/16,"AS17435, AS19905"
183.78.0.0/24,"AS19905, AS45960"
183.78.1.0/24,"AS19905, AS45960"
183.78.2.0/24,"AS19905, AS45960"
183.78.3.0/24,"AS19905, AS45960"
183.78.4.0/24,"AS19905, AS45960"
183.78.10.0/24,"AS19905, AS45960"
183.78.12.0/24,"AS19905, AS45960"
183.78.44.0/24,"AS19905, AS45960"
183.78.45.0/24,"AS19905, AS45960"
183.78.46.0/24,"AS19905, AS45960"
183.78.47.0/24,"AS19905, AS45960"
183.78.51.0/24,"AS19905, AS45960"
183.78.52.0/24,"AS19905, AS45960"
183.78.53.0/24,"AS19905, AS45960"
183.78.54.0/24,"AS19905, AS45960"
183.78.55.0/24,"AS19905, AS45960"
183.78.56.0/24,"AS19905, AS45960"
183.78.57.0/24,"AS19905, AS45960"
183.78.58.0/24,"AS19905, AS45960"
183.78.59.0/24,"AS19905, AS45960"
183.78.60.0/24,"AS19905, AS45960"
183.78.61.0/24,"AS19905, AS45960"
183.78.62.0/24,"AS19905, AS45960"
183.78.63.0/24,"AS19905, AS45960"
192.74.139.0/24,"AS1221, AS19905, AS4637"
202.0.32.0/19,"AS19905, AS4768, AS9500"
202.20.93.0/24,"AS19905, AS4768"
202.60.60.0/24,"AS19905, AS38174"
202.60.61.0/24,"AS19905, AS38174"
202.78.24.0/24,"AS132850, AS19905"
202.78.27.0/24,"AS139829, AS19905"
202.78.28.0/23,"AS139829, AS19905"
202.78.16.0/20,"AS19905, AS23703"
202.82.250.0/24,"AS19905, AS209242"
202.137.128.0/19,"AS19905, AS9873"
202.144.184.0/21,"AS19905, AS9873"
202.166.0.0/17,"AS19905, AS3758, AS9506"
202.176.192.0/24,"AS19905, AS9911"
202.176.197.0/24,"AS19905, AS9911"
202.176.198.0/24,"AS19905, AS9911"
202.176.200.0/24,"AS19905, AS9911"
202.176.202.0/24,"AS19905, AS9911"
202.176.215.0/24,"AS19905, AS9911"
202.176.221.0/24,"AS19905, AS9911"
203.4.130.0/24,"AS1221, AS19905"
203.4.131.0/24,"AS1221, AS19905"
203.17.72.0/24,"AS19905, AS38796, AS58620"
203.36.128.0/24,"AS19905, AS4637"
203.96.152.0/24,"AS19905, AS4768"
203.96.144.0/20,"AS19905, AS4768"
203.96.192.0/19,"AS19905, AS9500"
203.97.183.0/24,"AS19905, AS4768"
203.97.184.0/23,"AS19905, AS4768"
203.97.224.0/24,"AS17649, AS19905"
203.97.225.0/24,"AS17649, AS19905"
203.97.226.0/24,"AS17649, AS19905"
203.97.227.0/24,"AS17649, AS19905"
203.97.128.0/17,"AS19905, AS4768"
203.109.143.0/24,"AS19905, AS9500"
203.109.179.0/24,"AS19905, AS9500"
203.109.183.0/24,"AS19905, AS9500"
203.109.128.0/17,"AS19905, AS9500"
203.125.0.0/16,"AS19905, AS3758"
203.126.130.0/24,"AS19905, AS9255"
203.126.133.0/24,"AS19905, AS9255"
203.126.147.0/24,"AS19905, AS9255"
203.127.0.0/16,"AS19905, AS3758"
203.129.112.0/20,"AS18126, AS19905"
203.144.32.0/20,"AS17649, AS19905"
203.189.176.0/22,"AS19905, AS38015, AS38461"
203.191.34.0/23,"AS19905, AS38174"
203.208.149.0/24,"AS19905, AS7473"
203.208.151.0/24,"AS19905, AS7473"
203.208.154.0/24,"AS19905, AS7473"
203.208.155.0/24,"AS19905, AS7473"
203.208.157.0/24,"AS19905, AS63673, AS7473"
203.208.158.0/24,"AS19905, AS4845, AS7473"
203.208.166.0/24,"AS19905, AS7473"
203.208.171.0/24,"AS19905, AS7473"
203.208.178.0/24,"AS19905, AS7473"
203.208.185.0/24,"AS19905, AS7473, AS7700"
203.208.193.0/24,"AS19905, AS7473, AS7700"
203.208.223.0/24,"AS19905, AS7473"
203.208.224.0/24,"AS19905, AS9911"
203.208.228.0/24,"AS19905, AS9911"
203.208.231.0/24,"AS19905, AS9911"
203.208.232.0/24,"AS19905, AS9911"
203.208.233.0/24,"AS19905, AS9911"
203.208.237.0/24,"AS19905, AS9911"
203.208.239.0/24,"AS19905, AS9911"
203.208.240.0/24,"AS19905, AS9911"
203.208.248.0/24,"AS19905, AS9911"
203.208.255.0/24,"AS19905, AS9911"
210.19.13.0/24,"AS19905, AS9930"
210.19.19.0/24,"AS19905, AS9930"
210.19.41.0/24,"AS19905, AS9930"
210.19.179.0/24,"AS19905, AS9930"
210.19.218.0/24,"AS19905, AS9930"
210.19.243.0/24,"AS19905, AS9930"
210.19.244.0/24,"AS19905, AS9930"
210.57.42.0/24,"AS19905, AS24456"
210.246.0.0/18,"AS19905, AS9500"
211.25.61.0/24,"AS19905, AS9930"
211.25.80.0/24,"AS19905, AS9930"
211.25.82.0/24,"AS19905, AS9930"
211.25.133.0/24,"AS19905, AS9930"
211.25.178.0/24,"AS19905, AS9930"
211.25.209.0/24,"AS19905, AS9930"
211.25.232.0/24,"AS19905, AS9930"
213.170.156.0/24,"AS14618, AS16509, AS19905, AS8987"
213.170.157.0/24,"AS14618, AS16509, AS19905, AS8987"
213.170.158.0/24,"AS14618, AS16509, AS19905, AS8987"
218.101.0.0/18,"AS19905, AS4768"
218.101.64.0/18,"AS19905, AS9500"
