IP Prefix,ASNs
61.47.0.0/24,"AS13335, AS4637"
61.47.3.0/24,"AS13335, AS4637"
61.47.4.0/23,"AS13335, AS4637"
61.47.15.0/24,"AS13335, AS4637"
61.47.17.0/24,"AS13335, AS4637"
61.47.21.0/24,"AS13335, AS4637"
61.47.22.0/24,"AS13335, AS4637"
61.47.24.0/24,"AS13335, AS4637"
61.47.27.0/24,"AS13335, AS4637"
61.47.29.0/24,"AS13335, AS4637"
61.47.44.0/23,"AS13335, AS4637"
61.47.46.0/24,"AS13335, AS4637"
61.47.49.0/24,"AS13335, AS4637"
61.47.50.0/23,"AS13335, AS4637"
61.47.53.0/24,"AS13335, AS4637"
61.47.54.0/23,"AS13335, AS4637"
61.47.56.0/24,"AS13335, AS4637"
61.47.64.0/23,"AS13335, AS4637"
61.47.66.0/24,"AS13335, AS4637"
61.47.72.0/21,"AS13335, AS4637"
61.47.102.0/23,"AS13335, AS4637"
61.47.108.0/22,"AS13335, AS4637"
103.49.122.0/24,"AS13335, AS152712, AS198949"
103.49.123.0/24,"AS13335, AS152712, AS198949"
103.65.248.0/23,"AS13335, AS58470"
103.73.84.0/23,"AS132491, AS13335, AS4764, AS58511, AS64098"
103.143.32.0/23,"AS13335, AS139648"
103.156.22.0/23,"AS13335, AS139648, AS141191"
103.160.141.0/24,"AS13335, AS134461"
103.172.110.0/23,"AS13335, AS211392"
150.129.217.0/24,"AS13335, AS140630"
161.248.134.0/23,"AS13335, AS152620"
221.128.0.0/18,"AS13335, AS4637"
221.128.71.0/24,"AS13335, AS4637"
221.128.73.0/24,"AS13335, AS4637"
221.128.77.0/24,"AS13335, AS4637"
221.128.79.0/24,"AS13335, AS4637"
221.128.81.0/24,"AS13335, AS4637"
221.128.87.0/24,"AS13335, AS4637"
221.128.88.0/22,"AS13335, AS4637"
221.128.97.0/24,"AS13335, AS4637"
221.128.98.0/23,"AS13335, AS4637"
221.128.104.0/22,"AS13335, AS4637"
221.128.108.0/23,"AS13335, AS4637"
221.128.110.0/24,"AS13335, AS4637"
221.128.115.0/24,"AS13335, AS4637"
221.128.116.0/24,"AS13335, AS4637"
221.128.118.0/23,"AS13335, AS4637"
221.128.121.0/24,"AS13335, AS4637"
221.128.123.0/24,"AS13335, AS4637"
223.27.48.0/20,"AS13335, AS38843"
2400:cb00:90::/48,"AS13335, AS18809"
