IP Prefix,ASNs
14.136.149.0/24,"AS19905, AS32787"
103.28.24.0/24,"AS17675, AS32787"
103.37.228.0/24,"AS134165, AS134167, AS32787"
103.55.52.0/24,"AS137268, AS139352, AS32787"
103.55.53.0/24,"AS137268, AS139352, AS32787"
103.81.102.0/24,"AS136140, AS32787"
103.167.152.0/24,"AS32787, AS4755"
103.198.92.0/24,"AS1221, AS32787, AS38809, AS4826"
140.168.240.0/24,"AS136140, AS32787"
140.168.241.0/24,"AS136140, AS32787"
140.168.243.0/24,"AS136140, AS32787"
166.81.2.0/24,"AS19551, AS32787"
166.81.62.0/24,"AS19551, AS24112, AS32787, AS38166"
166.81.63.0/24,"AS19551, AS24112, AS32787"
166.81.83.0/24,"AS19551, AS24112, AS32787, AS38166"
166.81.84.0/24,"AS0, AS19551, AS24112, AS32787, AS38166"
202.139.113.0/24,"AS32787, AS7474"
202.153.190.0/24,"AS132737, AS32787"
203.125.128.0/24,"AS32787, AS9255"
203.169.14.0/24,"AS24295, AS32787"
