AS32787,Akamai (Prolexic)
AS13335,"Cloudflare, Inc.
AS19551,Incapsula Inc
AS19905,"Vercara, LLC"
AS198949,Radware
AS57724,DDOS-GUARD LTD
AS54113,"Fastly, Inc."
AS21859,Zenlayer Inc
AS19324,Dosarrest Internet Security LTD
AS3223,Voxility LLP
AS137409,GSL Networks Pty LTD
AS396998,"Path Network, Inc."
AS30456,Cosmic Global Networks
AS8757,"NSFOCUS, Inc."
AS34309,Link11 GmbH
AS35280,F5 Networks SARL
AS197068,High Load Lab (Qrator)
AS199524,Gcore S.A.
AS45474,NEXUSGUARD LIMITED (FOrtinet partners with this).
AS200020,Stichting NBIP-NaWas
AS42649,Baffin Bay Networks AB
AS59796,StormWall s.r.o.
AS20052, Arbor networks (Netscout)
AS 394009, A10 Networks
AS 401073, A10 Networks
AS5405,Inter.link GmbH
AS 5405 does not seem to be scrubbing because I found a case where a protected AS changed its upstream from this AS to AS 199524.

