prefix,provider,origin,time,as_path,scrubber,t_start,t_end
188.236.192.0/20,59605,42961,1733231163.0,"['59919', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
188.236.192.0/20,59605,42961,1733231188.0,"['680', '6461', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
188.236.192.0/20,59605,42961,1733232199.0,"['19151', '6461', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
188.236.192.0/20,59605,42961,1733232230.0,"['19151', '6461', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
188.236.192.0/20,59605,42961,1733232306.0,"['43733', '8932', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
188.236.192.0/18,59605,42961,1733232306.0,"['43733', '8932', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
188.236.192.0/20,59605,42961,1733232382.0,"['19151', '6461', '137409', '8529', '59605', '42961']",137409,1733231537,1733232329
91.197.6.0/24,62000,199088,1733239424.0,"['198150', '137409', '62000', '199088']",137409,1733239980,1733240822
91.197.6.0/24,62000,199088,1733240995.0,"['3399', '137409', '62000', '199088']",137409,1733239980,1733240822
135.84.243.0/24,32787,55303,1733233551.0,"['553', '6461', '32787', '55303']",32787,1733233672,1733235411
135.84.243.0/24,32787,55303,1733233590.0,"['19151', '32787', '55303']",32787,1733233672,1733235411
135.84.243.0/24,32787,55303,1733235390.0,"['19151', '32787', '55303']",32787,1733233672,1733235411
135.84.243.0/24,32787,55303,1733235771.0,"['213151', '34549', '32787', '55303']",32787,1733233672,1733235411
188.114.96.0/24,212483,13335,1733210513.0,"['212483', '13335']",13335,1733210565,1733213224
188.114.96.0/24,212483,13335,1733210513.0,"['212483', '13335']",13335,1733210565,1733213224
188.114.96.0/24,212483,13335,1733210584.0,"['212483', '13335']",13335,1733210565,1733213224
188.114.96.0/24,212483,13335,1733210584.0,"['212483', '13335']",13335,1733210565,1733213224
188.114.96.0/24,31133,13335,1733210734.0,"['28910', '31133', '13335']",13335,1733210565,1733213224
188.114.96.0/24,3356,13335,1733211154.0,"['28910', '3356', '13335']",13335,1733210565,1733213224
188.114.96.0/24,13030,13335,1733212552.0,"['12307', '29691', '13030', '13335']",13335,1733210565,1733213224
188.53.126.0/24,25019,39891,1733208101.0,"['199524', '2914', '39386', '25019', '39891']",199524,1733207211,1733208454
188.53.126.0/24,25019,39891,1733208816.0,"['199524', '2914', '39386', '25019', '39891']",199524,1733207211,1733208454
66.118.232.0/22,13335,399244,1733188351.0,"['13030', '13335', '399244']",13335,1733186351,1733189464
66.118.232.0/22,13335,399244,1733188989.0,"['6830', '13335', '399244']",13335,1733186351,1733189464
111.170.0.0/16,9002,4134,1733193445.0,"['396998', '9002', '4134']",396998,1733193540,1733193841
111.170.0.0/16,9002,4134,1733194314.0,"['396998', '9002', '4134']",396998,1733193540,1733193841
5.106.128.0/17,49666,197207,1733260776.0,"['199524', '3491', '39533', '49666', '197207']",199524,1733260009,1733260314
23.227.38.0/23,267056,13335,1733241393.0,"['263237', '268860', '267056', '13335']",13335,1733241708,1733242835
23.227.38.0/23,267056,13335,1733241393.0,"['270014', '263237', '268860', '267056', '13335']",13335,1733241708,1733242835
23.227.38.0/23,28329,13335,1733241420.0,"['263237', '28329', '13335']",13335,1733241708,1733242835
23.227.38.0/23,6057,13335,1733241421.0,"['270014', '6057', '13335']",13335,1733241708,1733242835
23.227.38.0/23,212483,13335,1733241656.0,"['212483', '13335']",13335,1733241708,1733242835
23.227.38.0/23,212483,13335,1733241656.0,"['212483', '13335']",13335,1733241708,1733242835
23.227.38.0/23,212483,13335,1733241730.0,"['212483', '13335']",13335,1733241708,1733242835
23.227.38.0/23,212483,13335,1733241730.0,"['212483', '13335']",13335,1733241708,1733242835
23.227.38.0/23,3257,13335,1733241860.0,"['57821', '12586', '3257', '13335']",13335,1733241708,1733242835
23.227.38.0/23,267056,13335,1733241994.0,"['263237', '268860', '267056', '13335']",13335,1733241708,1733242835
23.227.38.0/23,267056,13335,1733241994.0,"['270014', '263237', '268860', '267056', '13335']",13335,1733241708,1733242835
23.227.38.0/23,6057,13335,1733242021.0,"['270014', '6057', '13335']",13335,1733241708,1733242835
